epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5140.26,0.22912,0.19448,0.84323,0.99908,1,0.995,0.97306,0.2101,0.14822,0.71198,0.000317,0.000317,0.000317
87,5219.05,0.21988,0.19025,0.84047,0.99911,1,0.995,0.97607,0.20694,0.15172,0.71274,0.0002972,0.0002972,0.0002972
88,5295.2,0.22834,0.19726,0.84332,0.99912,1,0.995,0.97845,0.19949,0.15299,0.71116,0.0002774,0.0002774,0.0002774
89,5372.09,0.22005,0.18753,0.82993,0.99912,1,0.995,0.97551,0.20013,0.14295,0.71279,0.0002576,0.0002576,0.0002576
90,5448.33,0.20964,0.1838,0.83356,0.99913,1,0.995,0.97722,0.21037,0.15453,0.71418,0.0002378,0.0002378,0.0002378
91,5523.77,0.18291,0.15993,0.79726,0.99913,1,0.995,0.97778,0.20631,0.15348,0.71288,0.000218,0.000218,0.000218
92,5599.01,0.18468,0.16594,0.77874,0.99914,1,0.995,0.9763,0.21351,0.16005,0.71411,0.0001982,0.0001982,0.0001982
93,5675.24,0.19173,0.16811,0.7818,0.99914,1,0.995,0.97267,0.21569,0.15877,0.71178,0.0001784,0.0001784,0.0001784
94,5748.11,0.19485,0.16425,0.80146,0.99912,1,0.995,0.97566,0.20261,0.15168,0.71197,0.0001586,0.0001586,0.0001586
95,5823.02,0.18034,0.15605,0.79222,0.99912,1,0.995,0.97633,0.19599,0.15286,0.71128,0.0001388,0.0001388,0.0001388
96,5895.71,0.18074,0.15229,0.78266,0.99912,1,0.995,0.97774,0.19358,0.14427,0.7105,0.000119,0.000119,0.000119
97,5968.18,0.17649,0.15526,0.81701,0.99913,1,0.995,0.97933,0.19541,0.14965,0.70976,9.92e-05,9.92e-05,9.92e-05
98,6041.2,0.17404,0.14759,0.80144,0.99913,1,0.995,0.97148,0.20412,0.14537,0.7105,7.94e-05,7.94e-05,7.94e-05
99,6115.91,0.17399,0.14751,0.77667,0.99913,1,0.995,0.97257,0.20309,0.14254,0.71014,5.96e-05,5.96e-05,5.96e-05
100,6186.2,0.16631,0.1405,0.79717,0.99913,1,0.995,0.97344,0.19827,0.14361,0.70949,3.98e-05,3.98e-05,3.98e-05
